CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 25037
NOMBRE    : GUAMUCHIL (AARSP)
ESTADO    : SINALOA
MUNICIPIO : SALVADOR ALVARADO
SITUACI�N : OPERANDO
ORGANISMO : CAADES
CVE-OMM   : Nulo
LATITUD   : 025.469�
LONGITUD  : -108.092�
ALTITUD   : 44 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
02/06/2010  0      9.4    34     22 
03/06/2010  0      11     32.5   23 
04/06/2010  0      8.2    31.5   22 
05/06/2010  0      5.4    30     23.5 
06/06/2010  0      5.3    29.5   21 
07/06/2010  0      8.2    32.5   21 
08/06/2010  0      10.4   33.5   21 
09/06/2010  0      10.2   34     22.5 
10/06/2010  0      11.3   33     22 
11/06/2010  0      9.2    32     23 
12/06/2010  0      8.4    31.5   21 
13/06/2010  0      7.8    32.5   20.5 
14/06/2010  0      11.2   34     20 
15/06/2010  0      10.8   35.5   23 
16/06/2010  0      11.6   35.5   23 
17/06/2010  0      11.4   36     24 
18/06/2010  0      10.8   34.5   24 
19/06/2010  0      11.3   34     25.5 
20/06/2010  0      12.9   38     25 
21/06/2010  0      14.3   37.5   25.5 
22/06/2010  0      13.5   38     25 
23/06/2010  0      11.7   36     26 
24/06/2010  0      13.3   37     26 
25/06/2010  0      12.5   38     27 
26/06/2010  0      12.8   37     25.5 
27/06/2010  0      12.8   36.5   26 
28/06/2010  0      13.3   38     26 
29/06/2010  0      9.1    38.5   26.5 
30/06/2010  0      15     39.5   26.5 
01/07/2010  0      11.5   36     27.5 
02/07/2010  3      5.3    28     25.5 
03/07/2010  0      4.6    31     23 
04/07/2010  0      7.2    33     23 
05/07/2010  0      5.9    32     25 
06/07/2010  0      9.9    34     24 
07/07/2010  0      9.1    30.5   24 
08/07/2010  5.4    7.2    35.5   24.5 
09/07/2010  0      8.9    35     25.5 
10/07/2010  0      6.2    33     25 
11/07/2010  0      9.9    34.5   25 
12/07/2010  0      9.8    35.5   25 
13/07/2010  0      10.5   36     26.5 
14/07/2010  0      10.5   39.5   26 
15/07/2010  0      10.3   37     27.5 
16/07/2010  3.1    10     35.5   27 
17/07/2010  0      10.9   35.5   25 
18/07/2010  0      11     38     25.5 
19/07/2010  0      11.5   37     27 
20/07/2010  0      13.2   38     26.5 
21/07/2010  0      11.1   36     28 
22/07/2010  0      9.6    36.5   27.5 
23/07/2010  0      9.9    38     26.5 
24/07/2010  0      8.8    36     26 
25/07/2010  49.5   5.3    33.5   26.5 
26/07/2010  0.8    7.9    33     24.5 
27/07/2010  0      8.4    34     24.5 
28/07/2010  7.7    6.3    35.5   24.5 
29/07/2010  4.5    2.5    32     24.5 
30/07/2010  0      4.1    33     24 
31/07/2010  0      8.2    35     25.5 
01/08/2010  0      9.6    36     24 
02/08/2010  0      9.4    39     26 
03/08/2010  0      10     40     25.5 
04/08/2010  8      9.9    38.5   27.5 
05/08/2010  13.1   9.2    36.5   23 
06/08/2010  0      5.4    35.5   24.5 
07/08/2010  11     4.3    33     25 
08/08/2010  0      6.6    35.5   24 
09/08/2010  0      8.2    36.5   24 
10/08/2010  18.4   7.3    35     27 
11/08/2010  0.4    5.4    33     24.5 
12/08/2010  0      6.6    35     26.5 
13/08/2010  0      6.8    36     26 
14/08/2010  20     5.5    34.5   26 
15/08/2010  3.5    4.6    31.5   24 
16/08/2010  0      5.1    35.5   25.5 
17/08/2010  0      6.8    35     25.5 
18/08/2010  0      5      36     26 
19/08/2010  20.2   7.8    32     25.5 
20/08/2010  3.5    3.1    32.5   26 
21/08/2010  0      6.6    35.5   23 
22/08/2010  0      5.3    36     27.5 
23/08/2010  0      7.6    37.5   26 
24/08/2010  0      6.6    38.5   27 
25/08/2010  13.5   9.3    39.5   27 
26/08/2010  0      5.4    34.5   24 
27/08/2010  0      4.7    35     27 
28/08/2010  23.9   6.9    35.5   25 
29/08/2010  0      4.9    33.5   25 
30/08/2010  1.6    5.3    35     25.5 
31/08/2010  2.9    3.7    33     26.5 
01/09/2010  0.5    5      35.5   26 
02/09/2010  0      6.3    36     25 
03/09/2010  0      7.4    36.5   25.5 
04/09/2010  36.2   12.1   36     25 
05/09/2010  0      5.2    34     22 
06/09/2010  22.6   8.6    34.5   22.5 
07/09/2010  0      6.8    36.5   23.5 
08/09/2010  25.6   4.2    32     23 
09/09/2010  2      5      31.5   24.5 
10/09/2010  0      3.9    30     24 
11/09/2010  0      4.1    33     25 
12/09/2010  0      4.2    34     26 
13/09/2010  6.5    4.6    33.5   25.5 
14/09/2010  0      4.7    33.5   24 
15/09/2010  0      5      36     24 
16/09/2010  1.4    5.7    33.5   24 
17/09/2010  44.5   9      33     27 
18/09/2010  0      7.2    36     23 
19/09/2010  0      5      36.5   25.5 
20/09/2010  2.1    1.7    35.5   25 
21/09/2010  12.4   3.9    31     25 
22/09/2010  9.3    5.2    31     24 
23/09/2010  0      5.9    33     24 
24/09/2010  0      5.2    33.5   23.5 
25/09/2010  3      5.1    35.5   25.5 
26/09/2010  5.8    4.7    31     24 
27/09/2010  2      3.9    31.5   23 
28/09/2010  0      7.4    35     25 
29/09/2010  0      5.6    36     25 
30/09/2010  0      6.2    36     25 
01/10/2010  0      6.9    37     25 
02/10/2010  0      6.6    36.5   25.5 
03/10/2010  0.3    6      36.5   24 
04/10/2010  1.5    1.8    32.5   26 
05/10/2010  0      5.4    34     22.5 
06/10/2010  0      5.3    35.5   23 
07/10/2010  0      6.9    37.5   24 
08/10/2010  0      6.2    36.5   23.5 
09/10/2010  0      7.5    37     23 
10/10/2010  0      7.2    37     21 
11/10/2010  0      6.2    36     19.5 
12/10/2010  0      6.3    36.5   19 
13/10/2010  1.4    4.9    37.5   19.5 
14/10/2010  0      4.1    36     19.5 
15/10/2010  0      6.2    37.5   24 
16/10/2010  0      5.1    35     21 
17/10/2010  0      7.9    33.5   20 
18/10/2010  0      6.7    33.5   19 
19/10/2010  0      5.9    33     19 
20/10/2010  0      5.7    32     19 
21/10/2010  0      6.2    31     18 
22/10/2010  0      5.2    32     16 
23/10/2010  0      5.8    32     16 
24/10/2010  0      5.8    34     18 
25/10/2010  0      6.3    34.5   18 
26/10/2010  0      5.2    33.5   18 
27/10/2010  0      4      33     18 
28/10/2010  0      6.7    35.5   19.5 
29/10/2010  0      5.2    36     19 
30/10/2010  0      6.1    36     21 
31/10/2010  0      9      37.5   19 
01/11/2010  0      4.2    35     18 
02/11/2010  0      6      35     18 
03/11/2010  0      5.2    36     18 
04/11/2010  0      7.2    36     19 
05/11/2010  0      6.1    36     19.5 
06/11/2010  0      6.8    35.5   19 
07/11/2010  0      6.5    34     16 
08/11/2010  0      6      33.5   16 
09/11/2010  0      5.1    32.5   16.5 
10/11/2010  0      7.2    32.5   15 
11/11/2010  0      5.5    31     15.5 
12/11/2010  0      5.9    31     15 
13/11/2010  0      5.4    31     13.5 
14/11/2010  0      4.7    29.5   14.5 
15/11/2010  0      5.8    29.5   13 
16/11/2010  0      5.1    29.5   14.5 
17/11/2010  0      5.1    30     15 
18/11/2010  0      5.1    32     16 
19/11/2010  0      4.9    32.5   15 
20/11/2010  0      4.9    32.5   16 
21/11/2010  0      4.6    32     15 
22/11/2010  0      4.5    30.5   14 
23/11/2010  0      4.7    31.5   13 
24/11/2010  0      4.1    36     12 
25/11/2010  0      4.4    27.5   12 
26/11/2010  0      4.5    29.5   12 
27/11/2010  0      4.8    30     11.5 
28/11/2010  0      3.1    32     12 
29/11/2010  0      3.8    26.5   12 
30/11/2010  0      3.7    29     10 
01/12/2010  0      3.8    30     9.5 
02/12/2010  0      3.6    30     9.5 
03/12/2010  0      4      31.5   12.5 
04/12/2010  0     Nulo    30.5   16 
05/12/2010  0      5.7    31.5   13 
06/12/2010  0      3.6    30     13 
07/12/2010  0      4.5    30     13 
08/12/2010  0      4.1    31     14 
09/12/2010  0      4.5    31     9 
10/12/2010  0      4.4    30.5   14 
11/12/2010  0      4.8    30     13 
12/12/2010  0      4.1    30     14 
13/12/2010  0      3.5    28     12.5 
14/12/2010  0      3.4    28.5   13.5 
15/12/2010  0      3.5    28     13 
16/12/2010  0      3.4    27.5   13.5 
17/12/2010  0      2.7    26.5   13 
18/12/2010  0      3.6    28     14 
19/12/2010  0      3.6    28.5   12 
20/12/2010  0      2.9    27.5   13.5 
21/12/2010  0      2.6    27     13.5 
22/12/2010  0      2.8    27     12.5 
23/12/2010  0      3.6    27.5   13 
24/12/2010  0      3.3    27     11.5 
25/12/2010  0      3.1    27.5   11 
26/12/2010  0      3.2    27.5   11 
27/12/2010  0      3      27.5   10 
28/12/2010  0      2.2    25     11 
29/12/2010  0      3.5    25     11 
30/12/2010  0      3.2    23     12.5 
31/12/2010  0      2.2    24.5   12.5 
01/01/2011  0      3.2    23.5   9.5 
02/01/2011  0      3.9    26.5   9 
03/01/2011  0      3.1    27     9 
04/01/2011  0      4.7    30     9.5 
05/01/2011  0      3.2    25     12 
06/01/2011  0      2.1    27.5   13 
07/01/2011  0      4.9    30     14 
08/01/2011  0      4.7    25     10.5 
09/01/2011  0      2.2    26.5   9 
10/01/2011  0      4      27     9 
11/01/2011  0      4      28     11 
12/01/2011  0      3.2    28.5   8 
13/01/2011  0      4.5    29.5   8 
14/01/2011  0      3.8    29.5   8 
15/01/2011  0      2.1    26.5   8 
16/01/2011  0      4      27     10.5 
17/01/2011  0      3.8    27     10 
18/01/2011  0      4.4    28.5   11 
19/01/2011  0      3      26.5   11 
20/01/2011  0      4.7    28.5   11 
21/01/2011  0      4.3    27.5   8 
22/01/2011  0      3.4    28.5   9 
23/01/2011  0      4.3    27.5   10 
24/01/2011  0      4.9    27.5   7.5 
25/01/2011  0      4.8    27.5   10 
26/01/2011  0      4      25     10.5 
27/01/2011  0      2.6    25     11 
28/01/2011  0      2.1    21.5   15 
29/01/2011  0      3.8    27.5   14 
30/01/2011  0      6.2    28     12.5 
31/01/2011  0      4.5    27     10 
01/02/2011  0      4.8    26     9 
02/02/2011  0      5.2    25     7 
03/02/2011  0      4.2    13.5   4 
04/02/2011  0      4.9    20     2 
05/02/2011  0      5.1    25.5   6 
06/02/2011  0      4.6    28     6 
07/02/2011  0      5.5    31     9 
08/02/2011  0      5.8    30     10 
09/02/2011  0      4.7    29.5   12 
10/02/2011  0      5      30     9.5 
11/02/2011  0      4.9    29.5   9.5 
12/02/2011  0      5.6    32     9.5 
13/02/2011  0      5.8    32     11 
14/02/2011  0      5.9    32.5   11.5 
15/02/2011  0      6.4    33.5   13 
16/02/2011  0      4.1    30     13 
17/02/2011  0      6.8    30     12.5 
18/02/2011  0      7      32.5   12.5 
19/02/2011  0      6.6    32     13.5 
20/02/2011  0      7      32     12 
21/02/2011  0      6.6    28     11 
22/02/2011  0      5.7    28     11 
23/02/2011  0      5      27.5   11.5 
24/02/2011  0      7.9    29     10 
25/02/2011  0      6.1    29.5   10 
26/02/2011  0      7.9    29.5   10.5 
27/02/2011  0      5.2    26     10.5 
28/02/2011  0      6.8    30     10.5 
01/03/2011  0      6.3    32     11 
02/03/2011  0      7.8    33.5   10.5 
03/03/2011  0      6.1    31.5   13 
04/03/2011  0      7.1    31.5   13 
05/03/2011  0      6.7    33     13.5 
06/03/2011  0      6.3    31.5   14 
07/03/2011  0      6.1    30.5   14.5 
08/03/2011  0      6.1    30     14 
09/03/2011  0      6.4    32     13 
10/03/2011  0      7.2    34.5   12 
11/03/2011  0      8.2    32.5   15 
12/03/2011  0      9.2    34     13 
13/03/2011  0      8.1    33.5   15 
14/03/2011  0      9.5    34     14 
15/03/2011  0      9.1    32.5   15.5 
16/03/2011  0      7.5    33     15 
17/03/2011  0      8.6    34     14.5 
18/03/2011  0      9.9    38     15 
19/03/2011  0      9.4    38     12 
20/03/2011  0      7.4    33     11 
21/03/2011  0      8.7    35     18 
22/03/2011  0      9.8    34     18.5 
23/03/2011  0      9.9    32.5   12 
24/03/2011  0      8.2    32.5   11.5 
25/03/2011  0      7.7    34     12.5 
26/03/2011  0      7.4    32.5   12.5 
27/03/2011  0      9.1    34     13.5 
28/03/2011  0      8.9    32.5   12.5 
29/03/2011  0      8.8    32.5   13.5 
30/03/2011  0      9.8    34     14 
31/03/2011  0      10.4   34     15 
01/04/2011  0      9.9    34     15 
02/04/2011  0      9      33.5   17 
03/04/2011  0      8.6    33.5   14 
04/04/2011  0      6.1    33     17 
05/04/2011  0      6.9    33.5   16 
06/04/2011  0      7.9    32.5   16 
07/04/2011  0      9.7    33.5   15 
08/04/2011  0      9.2    32.5   16.5 
09/04/2011  0      8.5    34     16 
10/04/2011  0      8.2    30     15 
11/04/2011  0      8      31     12 
12/04/2011  0      7.5    31.5   13 
13/04/2011  0      8.8    33     13.5 
14/04/2011  0      13.4   35     16 
15/04/2011  0      10.7   34     15 
16/04/2011  0      9.8    31     16 
17/04/2011  0      9.6    32.5   14 
18/04/2011  0      8      32     14.5 
19/04/2011  0      10.9   32.5   14 
20/04/2011  0      9.4    33     15.5 
21/04/2011  0      9.7    32.5   16 
22/04/2011  0      9.1    32     17 
23/04/2011  0      8.9    32     17 
24/04/2011  0      7.3    30.5   15 
25/04/2011  0      8.7    33.5   16 
26/04/2011  0      8      31.5   16 
27/04/2011  0      8.9    33.5   16 
28/04/2011  0      8.3    33     18.5 
29/04/2011  0      10.9   34.5   19.5 
30/04/2011  0      8.6    35.5   20 
01/05/2011  0      11.3   35.5   15.5 
02/05/2011  0      13.3   35     16 
03/05/2011  0      10.6   34.5   16 
04/05/2011  0      10.5   35.5   19.5 
05/05/2011  0      11.4   36     19 
06/05/2011  0      12.3   37.5   19 
07/05/2011  0      11.1   36     18.5 
08/05/2011  0      10.9   34.5   18 
09/05/2011  0      8.5    33.5   19 
10/05/2011  0      9.3    33     19 
11/05/2011  0      9.4    33     16.5 
12/05/2011  0      10     33.5   15 
13/05/2011  0      9.5    33.5   16.5 
14/05/2011  0      12.8   36     17.5 
15/05/2011  0      12.1   35.5   18.5 
16/05/2011  0      13.4   35.5   18 
17/05/2011  0      10.9   35.5   19 
18/05/2011  0      10.7   33     15 
19/05/2011  0      10.1   32     15 
20/05/2011  0      10.2   32.5   17.5 
21/05/2011  0      11.1   33     17 
22/05/2011  0      9.6    33     18.5 
23/05/2011  0      9.2    33.5   18 
24/05/2011  0      9.8    34     18 
25/05/2011  0      11.7   35.5   18.5 
26/05/2011  0      10.8   34     20 
27/05/2011  0      11.9   35.5   19.5 
28/05/2011  0      12.1   35.5   21.5 
29/05/2011  0      12.9   35.5   22 
30/05/2011  0      11.9   34     20.5 
31/05/2011  0      10.7   34     19 
01/06/2011  0      10.4   35     17.5 
02/06/2011  0      10.6   35     22.5 
03/06/2011  0      10.1   33.5   23.5 
04/06/2011  0      10.1   36     23 
05/06/2011  0      9.1    33.5   25 
06/06/2011  0      9.6    33.5   24 
07/06/2011  0      9.3    34.5   25 
08/06/2011  0      9.4    35.5   25 
09/06/2011  0      9.1    35     26 
10/06/2011  0      11.4   36     24 
11/06/2011  0      11.3   36     24.5 
12/06/2011  0      11.6   36     25 
13/06/2011  0      12.8   36     24 
14/06/2011  0      10.7   36     25 
15/06/2011  0      10.8   35.5   26 
16/06/2011  0      11.6   34.5   26 
17/06/2011  0      10.1   33.5   24.5 
18/06/2011  0      9.9    34.5   24 
19/06/2011  0      8.7    33.5   25 
20/06/2011  0      8.9    33.5   24.5 
21/06/2011  0      8.9    33.5   25 
22/06/2011  0      10.9   34     25 
23/06/2011  0      9.1    34.5   26 
24/06/2011  0      11.1   35     25.5 
25/06/2011  0      11.4   35.5   26 
26/06/2011  0      11.6   36     26 
27/06/2011  0      12.5   35.5   27.5 
28/06/2011  0.7    11.2   35.5   27.5 
29/06/2011  0      15.2   36     25.5 
30/06/2011  0      10.4   36     25.5 
01/07/2011  0      10     37     15 
02/07/2011  59     4.6    36     27.5 
03/07/2011  1      8.4    33.5   23 
04/07/2011  8.2    7.5    33     25 
05/07/2011  12.4   10.8   34     24.5 
06/07/2011  0      7.5    35     24 
07/07/2011  0      9.7    36.5   23 
08/07/2011  0      8.1    36.5   26 
09/07/2011  0      8.1    35     25 
10/07/2011  16     6.6    34     25 
11/07/2011  7.4    5.5    32.5   23 
12/07/2011  16.7   9.6    36     23.5 
13/07/2011  0      5.6    36     24.5 
14/07/2011  0      4.2    34     23 
15/07/2011  2      10.1   37     23 
16/07/2011  0      8.4    36.5   25 
17/07/2011  8.7    6.7    36     26 
18/07/2011  0.9    6.2    35     23 
19/07/2011  0      6.1    35     25 
20/07/2011  27.5   6.8    35     25 
21/07/2011  0      8.6    35     23 
22/07/2011  0.5    4      35.5   24 
23/07/2011  24.9   5.6    34     24 
24/07/2011  0      7.8    36.5   24 
25/07/2011  0      7.8    37.5   25.5 
26/07/2011  0      7.1    36     26 
27/07/2011  0      6.5    36     22 
28/07/2011  0      7      36.5   23 
29/07/2011  0.7    5      36     23 
30/07/2011  4.1    5.1    33.5   26 
31/07/2011  0.2    6      36     24 
01/08/2011  0      7.3    38     23 
02/08/2011  7.2    9.2    39     26 
03/08/2011  0      6.2    32.5   24.5 
04/08/2011  0      4.2    36     25 
05/08/2011  0.3    6.2    34.5   26 
06/08/2011  6      7.8    37.5   25 
07/08/2011  0.6    5.2    36     24 
08/08/2011  66.2   7.8    32.5   25 
09/08/2011  6      4      32.5   23.5 
10/08/2011  0      4.9    34     23.5 
11/08/2011  0      7.9    35.5   24 
12/08/2011  0      8.1    36     25.5 
13/08/2011  10.3   3.3    33     25 
14/08/2011  10.9   3.8    32.5   25 
15/08/2011  0      6.2    34.5   24 
16/08/2011  0      5.3    36     24 
17/08/2011  21.8   10.6   37     26 
18/08/2011  0.9    4.8    34     24 
19/08/2011  13     5.5    33     24 
20/08/2011  2.5    8      35.5   24 
21/08/2011  0      7.1    35.5   25.5 
22/08/2011  0      7.3    36     24.5 
23/08/2011  0      6.8    36     25.5 
24/08/2011  6.6    4.5    33     26 
25/08/2011  0.3    4.2    35     23 
26/08/2011  5      8      34.5   26 
27/08/2011  26     7.2    34     24 
28/08/2011  0      4.1    34     24 
29/08/2011  0      7.1    36     23 
30/08/2011  0      7      36     27 
31/08/2011  0      5.4    36     26 
01/09/2011  0      4.3    33.5   26 
02/09/2011  23     2.4    29     26 
03/09/2011  54     8.1    32     25 
04/09/2011  0      4.2    32     24 
05/09/2011  0      7.9    34.5   24.5 
06/09/2011  2      5.2    39     25.5 
07/09/2011  0      5.7    35     25 
08/09/2011  0      6.3    36.5   25 
09/09/2011  0      5.3    36     25.5 
10/09/2011  0      5.1    35     26 
11/09/2011  0      5.4    36.5   26 
12/09/2011  0      8      36     26 
13/09/2011  2.3    1.3    32     26 
14/09/2011  0      5.6    35.5   26 
15/09/2011  0      5.4    36     26 
16/09/2011  14     8.6    36.5   25 
17/09/2011  0      4.6    35     23 
18/09/2011  0      7.5    36     24 
19/09/2011  0      7.2    37     25 
20/09/2011  0      5.6    37     23 
21/09/2011  0      5.7    38     25 
22/09/2011  0      7.5    37     26 
23/09/2011  0      5.9    38.5   26 
24/09/2011  0      4.3    38.5   26 
25/09/2011  0      8.3    38     26 
26/09/2011  0      7.8    39     26 
27/09/2011  0      6.2    36     26 
28/09/2011  0      7.9    36     25 
29/09/2011  0      8.3    38.5   22 
30/09/2011  0      6.3    39     22 
01/10/2011  0      8.6    39     24 
02/10/2011  0      8.1    38.5   25 
03/10/2011  0      8      38     24 
04/10/2011  0      8.1    37     24 
05/10/2011  0      6.4    38     24 
06/10/2011  0      8.9    37     23 
07/10/2011  0      8.4    37     22 
08/10/2011  0      9.2    36     21 
09/10/2011  0      7.7    36     19 
10/10/2011  0      7.3    36     18 
11/10/2011  0      7.6    38.5   18 
12/10/2011  0      6.8    39     19 
13/10/2011  0      7.3    36     20 
14/10/2011  0      7.6    36.5   22 
15/10/2011  0      6.1    38     23.5 
16/10/2011  0      6.9    36.5   24 
17/10/2011  0      6.4    36     24 
18/10/2011  0      7.4    37     24 
19/10/2011  0      6.2    38     24 
20/10/2011  0      5.2    35     24.5 
21/10/2011  0      6.5    36     24 
22/10/2011  0      6.1    35     23.5 
23/10/2011  0      4.8    37     23 
24/10/2011  0      6.2    36     23 
25/10/2011  0      7      36.5   23 
26/10/2011  0      6.2    36     23 
27/10/2011  0      7.6    35     22 
28/10/2011  0      7.2    35     16 
29/10/2011  0      5      35.5   16 
30/10/2011  0      4.5    35.5   18 
31/10/2011  0      6.2    37.5   17.5 
01/11/2011  0      5.2    35     19 
02/11/2011  0      5.4    34.5   19 
03/11/2011  0      5.3    35     20 
04/11/2011  0      5.6    34     19 
05/11/2011  0      7.5    33     19 
06/11/2011  0      6.3    33.5   19 
07/11/2011  0      7.3    30.5   18 
08/11/2011  0      5.9    30     15 
09/11/2011  0      5.6    29     14 
10/11/2011  0      7.2    33.5   13 
11/11/2011  0      6.8    33.5   18 
12/11/2011  0      6      31.5   18 
13/11/2011  26.2   4.8    30.5   19 
14/11/2011  4      4.8    30.5   19.5 
15/11/2011  0      3.2    27     16 
16/11/2011  0      3.9    29.5   15 
